match_created_utc,user_deck,oppo_deck,result_vs_oppo
2026-04-26T18:36:26+00:00,Dimir Reanimator,Izzet Wizards,1-2
2026-04-26T18:34:43+00:00,Dimir Sorin Reanimator,Mardu Energy,0-2
2026-04-26T18:30:32+00:00,Dimir Sorin Reanimator,Jeskai Tempo,2-1
2026-04-26T18:19:09+00:00,Boros Energy,Dimir Tempo,0-2
2026-04-26T18:20:29+00:00,Mono-White Stompy,Dimir Sorin Reanimator,2-0
2026-04-26T18:29:02+00:00,Boros Burn,Dimir Reanimator,0-2
2026-04-26T18:22:18+00:00,Dimir Reanimator,Mono-Red Stompy,2-1
2026-04-26T18:27:27+00:00,Boros Energy,Esper Tempo,2-0
2026-04-26T18:16:18+00:00,Dimir Tempo,Izzet Tempo,2-0
2026-04-26T18:31:20+00:00,Sultai Show and Tell,Azorius Control,2-0
2026-04-26T18:27:30+00:00,Mono-Red Stompy,Mono-Red Ruby Storm,1-2
2026-04-26T18:31:29+00:00,Boros Energy,Boros Energy,2-0
2026-04-26T18:28:09+00:00,The Epic Storm,Mono-Red Ruby Storm,2-1
2026-04-26T18:24:18+00:00,Mono-Red Stompy,Mono-Blue Charbelcher,2-0
2026-04-26T18:49:08+00:00,Esper Jace Valki,Boros Energy,2-0
2026-04-26T19:17:58+00:00,Rakdos Burn,Mardu Energy,1-2
2026-04-26T19:25:00+00:00,Azorius Tempo,Izzet Tempo,2-0
2026-04-26T19:06:57+00:00,Izzet Tempo,Boros Energy,1-2
2026-04-26T19:26:44+00:00,Izzet Tempo,Mardu Energy,1-2
2026-04-26T19:13:45+00:00,Mono-Red Ruby Storm,Izzet Wizards,2-0
2026-04-26T19:08:36+00:00,Dimir Tempo,Dimir Sorin Reanimator,2-0
2026-04-26T19:12:16+00:00,Mardu Energy,Dimir Sorin Reanimator,0-2
2026-04-26T19:04:29+00:00,Mardu Energy,Boros Energy,0-2
2026-04-26T19:13:35+00:00,Dimir Reanimator,Izzet Tempo,0-2
2026-04-26T19:06:07+00:00,Dimir Tempo,Sultai Show and Tell,0-2
2026-04-26T19:22:20+00:00,Esper Jace Valki,Boros Energy,1-2
2026-04-26T19:32:59+00:00,Izzet Tempo,Dimir Tempo,2-1
2026-04-26T19:17:20+00:00,Esper Tempo,Dimir Reanimator,0-2
2026-04-26T19:03:51+00:00,Mardu Energy,Esper Tempo,0-2
2026-04-26T19:06:54+00:00,Grixis Tempo,Mono-Black Reanimator,2-0
2026-04-26T19:02:18+00:00,Rakdos Breach,Izzet Tempo,2-0
2026-04-26T19:20:32+00:00,Dimir Reanimator,Rakdos Burn,2-1
2026-04-26T19:28:40+00:00,Mono-Red Stompy,Mono-White Stompy,1-2
2026-04-26T19:11:38+00:00,Mono-Red Stompy,Ruby Storm,0-2
2026-04-26T19:07:37+00:00,Gruul Goblin Foodchain,Dimir Sorin Reanimator,2-0
2026-04-26T19:26:12+00:00,Boros Energy,Jeskai Tempo,2-1
2026-04-26T19:09:09+00:00,Mono-Red Ruby Storm,Boros Energy,0-2
2026-04-26T19:12:22+00:00,Izzet Obosh ,Rakdos Aggro,2-1
2026-04-26T19:19:58+00:00,Esper Jace Valki,Esper Tempo,0-2
2026-04-26T19:12:22+00:00,Dimir Reanimator,Boros Energy,1-2
2026-04-26T19:11:39+00:00,Boros Energy,Mono-Blue Charbelcher,2-0
2026-04-26T19:45:48+00:00,Mono-Red Ruby Storm,Mardu Energy,2-0
2026-04-26T20:23:21+00:00,Azorius Tempo,Mardu Energy,2-0
2026-04-26T20:03:31+00:00,Boros Energy,Izzet Tempo,2-0
2026-04-26T19:57:45+00:00,Boros Energy,Izzet Tempo,1-2
2026-04-26T20:06:27+00:00,Mono-White Stompy,Dimir Reanimator,2-1
2026-04-26T19:59:19+00:00,Esper Tempo,Dimir Sorin Reanimator,3-0
2026-04-26T20:01:19+00:00,Dimir Tempo,Boros Energy,1-2
2026-04-26T19:55:54+00:00,Rakdos Breach,Izzet Tempo,2-0
2026-04-26T20:14:35+00:00,Izzet Tempo,Dimir Reanimator,1-2
2026-04-26T20:08:05+00:00,Sultai Show and Tell,Grixis Tempo,1-2
2026-04-26T19:45:34+00:00,Rakdos Burn,Izzet Tempo,2-0
2026-04-26T19:49:16+00:00,Dimir Tempo,Dimir Sorin Reanimator,2-0
2026-04-26T19:48:59+00:00,Izzet Obosh ,Mardu Energy,2-1
2026-04-26T20:15:13+00:00,Boros Energy,Azorius Control,2-0
2026-04-26T20:06:39+00:00,Gruul Goblin Foodchain,Izzet Tempo,0-2
2026-04-26T19:52:31+00:00,Dimir Reanimator,Rakdos Burn,1-2
2026-04-26T19:55:42+00:00,Ruby Storm,Esper Tempo,0-2
2026-04-26T20:07:58+00:00,Boros Energy,Izzet Wizards,1-2
2026-04-26T20:14:47+00:00,Boros Energy,Esper Jace Valki,2-1
2026-04-26T19:48:09+00:00,Mono-Red Ruby Storm,The Epic Storm,2-0
2026-04-26T19:56:33+00:00,Dimir Sorin Reanimator,Mono-Red Stompy,2-1
2026-04-26T19:46:43+00:00,Boros Energy,Mono-Blue Charbelcher,2-0
2026-04-26T22:25:54+00:00,Azorius Tempo,Rakdos Burn,1-2
2026-04-26T22:11:51+00:00,Mardu Energy,Rakdos Breach,0-2
2026-04-26T22:03:38+00:00,Boros Energy,Mono-Red Ruby Storm,2-0
2026-04-26T22:24:09+00:00,Dimir Reanimator,Esper Tempo,2-0
2026-04-26T23:04:10+00:00,Rakdos Burn,Rakdos Breach,1-2
2026-04-26T22:55:57+00:00,Boros Energy,Dimir Reanimator,1-2
2026-04-26T23:30:54+00:00,Rakdos Breach,Dimir Reanimator,0-2
2026-04-26T20:59:20+00:00,Mono-Red Ruby Storm,Azorius Tempo,1-2
2026-04-26T20:42:47+00:00,Boros Energy,Rakdos Burn,0-2
2026-04-26T20:44:50+00:00,Grixis Tempo,Izzet Tempo,1-2
2026-04-26T20:47:00+00:00,Dimir Reanimator,Mono-White Stompy,2-0
2026-04-26T20:48:57+00:00,Esper Tempo,Mardu Energy,2-1
2026-04-26T20:52:25+00:00,Boros Energy,Rakdos Breach,1-2
2026-04-26T20:38:24+00:00,Mardu Energy,Rakdos Burn,2-0
2026-04-26T20:53:23+00:00,Izzet Wizards,Dimir Tempo,1-2
2026-04-26T20:47:16+00:00,Boros Energy,Izzet Obosh ,2-0
2026-04-26T21:01:41+00:00,Sultai Show and Tell,Esper Tempo,2-1
2026-04-26T21:01:52+00:00,Izzet Tempo,Boros Energy,2-1
2026-04-26T20:36:46+00:00,Izzet Tempo,Dimir Tempo,0-2
2026-04-26T20:37:50+00:00,Izzet Tempo,Mono-Red Ruby Storm,2-0
2026-04-26T20:40:58+00:00,Boros Energy,Ruby Storm,0-2
2026-04-26T20:42:49+00:00,Dimir Sorin Reanimator,Boros Energy,1-2
2026-04-26T20:50:46+00:00,Azorius Control,Mono-Red Stompy,0-2
2026-04-26T21:05:40+00:00,Boros Energy,The Epic Storm,2-0
2026-04-26T21:25:15+00:00,Azorius Tempo,Boros Energy,0-2
2026-04-26T21:40:53+00:00,Mono-Red Ruby Storm,Dimir Reanimator,1-2
2026-04-26T21:27:45+00:00,Rakdos Burn,Mardu Energy,0-2
2026-04-26T21:12:52+00:00,Rakdos Breach,Izzet Tempo,2-0
2026-04-26T21:48:06+00:00,Esper Tempo,Grixis Tempo,2-1
2026-04-26T21:33:19+00:00,Mardu Energy,Boros Energy,2-0
2026-04-26T21:41:38+00:00,Izzet Tempo,Sultai Show and Tell,2-1
2026-04-26T21:43:14+00:00,Izzet Tempo,Mono-White Stompy,2-1
2026-04-26T21:39:19+00:00,Izzet Tempo,Boros Energy,2-0
2026-04-26T21:20:39+00:00,Dimir Tempo,Dimir Tempo,2-0
2026-04-26T21:20:05+00:00,Dimir Reanimator,Ruby Storm,2-0
2026-04-26T21:43:10+00:00,Esper Tempo,Boros Energy,2-0
2026-04-26T21:26:16+00:00,Boros Energy,Boros Energy,0-2
2026-04-26T21:32:43+00:00,Boros Energy,Dimir Sorin Reanimator,1-2
